Collection_Date,Bed Occupancy
2/24/2022,8.4
2/23/2022,8.8
2/22/2022,9.2
2/21/2022,9.6
2/20/2022,10
2/19/2022,10.5
2/18/2022,11
2/17/2022,11.5
2/16/2022,12
2/15/2022,12.6
2/14/2022,13.3
2/13/2022,13.8
2/12/2022,14.1
2/11/2022,14.1
2/10/2022,14.3
2/9/2022,14.6
2/8/2022,14.8
2/7/2022,15
2/6/2022,15.4
2/5/2022,16.1
2/4/2022,16.5
2/3/2022,17
2/2/2022,17.5
2/1/2022,17.8
1/31/2022,18.1
1/30/2022,18.3
1/29/2022,18.7
1/28/2022,19.5
1/27/2022,19.9
1/26/2022,20.1
1/25/2022,20.6
1/24/2022,20.9
1/23/2022,21.3
1/22/2022,21.5
1/21/2022,21.4
1/20/2022,21.2
1/19/2022,21.2
1/18/2022,20.8
1/17/2022,20.7
1/16/2022,20.2
1/15/2022,19.5
1/14/2022,18.9
1/13/2022,18.3
1/12/2022,17.8
1/11/2022,16.9
1/10/2022,16
1/9/2022,14.8
1/8/2022,13.7
1/7/2022,12.8
1/6/2022,11.7
1/5/2022,10.7
1/4/2022,9.8
1/3/2022,8.9
1/2/2022,8.4
1/1/2022,7.7
12/31/2021,7.1
12/30/2021,6.7
12/29/2021,6.2
12/28/2021,5.9
12/27/2021,5.6
12/26/2021,5.4
12/25/2021,5.2
12/24/2021,5
12/23/2021,4.9
12/22/2021,4.8
12/21/2021,4.7
12/20/2021,4.7
12/19/2021,4.8
12/18/2021,4.8
12/17/2021,4.7
12/16/2021,4.7
12/15/2021,4.7
12/14/2021,4.7
12/13/2021,4.7
12/12/2021,4.8
12/11/2021,4.9
12/10/2021,5
12/9/2021,5.1
12/8/2021,5.2
12/7/2021,5.2
12/6/2021,5.3
12/5/2021,5.4
12/4/2021,5.5
12/3/2021,5.7
12/2/2021,5.8
12/1/2021,5.9
11/30/2021,5.9
11/29/2021,6
11/28/2021,5.9
11/27/2021,5.9
11/26/2021,5.9
11/25/2021,6
11/24/2021,6
11/23/2021,6.2
11/22/2021,6.2
11/21/2021,6.4
11/20/2021,6.4
11/19/2021,6.5
11/18/2021,6.5
11/17/2021,6.6
11/16/2021,6.6
11/15/2021,6.6
11/14/2021,6.4
11/13/2021,6.5
11/12/2021,6.4
11/11/2021,6.5
11/10/2021,6.6
11/9/2021,6.6
11/8/2021,6.8
11/7/2021,7
11/6/2021,7
11/5/2021,7.1
11/4/2021,7.1
11/3/2021,7
11/2/2021,7
11/1/2021,7.1
10/31/2021,7.1
10/30/2021,7.2
10/29/2021,7.2
10/28/2021,7.2
10/27/2021,7.3
10/26/2021,7.3
10/25/2021,7.3
10/24/2021,7.2
10/23/2021,7.2
10/22/2021,7.2
10/21/2021,7.1
10/20/2021,7.1
10/19/2021,7.2
10/18/2021,7.2
10/17/2021,7.3
10/16/2021,7.4
10/15/2021,7.6
10/14/2021,7.7
10/13/2021,7.8
10/12/2021,7.9
10/11/2021,8
10/10/2021,8
10/9/2021,8.1
10/8/2021,8.1
10/7/2021,8.1
10/6/2021,8.1
10/5/2021,8.1
10/4/2021,8.2
10/3/2021,8.2
10/2/2021,8.2
10/1/2021,8.2
9/30/2021,8.3
9/29/2021,8.3
9/28/2021,8.4
9/27/2021,8.5
9/26/2021,8.7
9/25/2021,8.9
9/24/2021,9
9/23/2021,9.2
9/22/2021,9.3
9/21/2021,9.6
9/20/2021,9.9
9/19/2021,10.2
9/18/2021,10.5
9/17/2021,10.8
9/16/2021,11.1
9/15/2021,11.3
9/14/2021,11.5
9/13/2021,11.4
9/12/2021,11.3
9/11/2021,11.2
9/10/2021,11.1
9/9/2021,11.1
9/8/2021,10.9
9/7/2021,10.9
9/6/2021,11
9/5/2021,11.1
9/4/2021,11.1
9/3/2021,11.1
9/2/2021,11.2
9/1/2021,11.2
8/31/2021,11.1
8/30/2021,11.1
8/29/2021,10.9
8/28/2021,10.7
8/27/2021,10.3
8/26/2021,9.8
8/25/2021,9.8
8/24/2021,8.7
8/23/2021,8.1
8/22/2021,7.5
8/21/2021,7.1
8/20/2021,7.1
8/19/2021,7.1
8/18/2021,7.1
8/17/2021,7.1
8/16/2021,7.1
8/15/2021,7.1
8/14/2021,7.1
8/13/2021,7.1
8/12/2021,6.8
8/11/2021,6.4
8/10/2021,6
8/9/2021,5.6
8/8/2021,5.2
8/7/2021,4.9
8/6/2021,4.4
8/5/2021,4.1
8/4/2021,3.9
8/3/2021,3.7
8/2/2021,3.5
8/1/2021,3.4
7/31/2021,3.2
7/30/2021,3.2
7/29/2021,3.1
7/28/2021,3
7/27/2021,2.9
7/26/2021,2.8
7/25/2021,2.7
7/24/2021,2.6
7/23/2021,2.6
7/22/2021,2.6
7/21/2021,2.7
7/20/2021,2.7
7/19/2021,2.6
7/18/2021,2.6
7/17/2021,2.5
7/16/2021,2.5
7/15/2021,2.5
7/14/2021,2.4
7/13/2021,2.5
7/12/2021,2.6
7/11/2021,2.7
7/10/2021,2.7
7/9/2021,2.7
7/8/2021,2.7
7/7/2021,2.7
7/6/2021,2.7
7/5/2021,2.7
7/4/2021,2.7
7/3/2021,2.8
7/2/2021,2.9
7/1/2021,3